BDC,10:30:00,Basic Theater,Melodye Redding,none,2024-01-24,Theater
Peridance,11:30:00,Int Broadway Jazz,Sue Samuels,none,2024-01-24,Theater
BDC,12:00:00,Adv Beg Theater,Ian Klein,none,2024-01-24,Theater
Steps,13:00:00,Int Theater Dance,Winans (2),none,2024-01-24,Theater
Steps,13:15:00,Int/Adv Theater Jazz,Dee Tomasetta,none,2024-01-24,Theater
BDC,13:30:00,Int Theater,Tanner Lane,none,2024-01-24,Theater
Steps,14:45:00,Adv/Beg Theater Jazz,Resavy,none,2024-01-24,Theater
BDC,15:00:00,Beg Theater,Josh Zacher,none,2024-01-24,Theater
BDC,16:30:00,Adv Beg Theater,Jason Wise,none,2024-01-24,Theater
Steps,17:00:00,Adv/Int Theater Jazz,Dolan,none,2024-01-24,Theater
BDC,18:00:00,Int Adv Theater,Marc Kimelman (3),none,2024-01-24,Theater
