PMT,17:00:00,African Diasporic Dance,J Lyn Thomas,none,2023-12-05,World
Ailey,18:00:00,Beg Salsa,Baila Society,none,2023-12-05,World
Mark Morris,18:00:00,Senegalese Dance,Cancelled Today,none,2023-12-05,World
Ailey,18:30:00,Afro-Cuban Folkloric,Liethis Hechavarria (1),none,2023-12-05,World
Mark Morris,19:00:00,Beg Haitian,Véronëque *Ignace,none,2023-12-05,World
Steps,19:00:00,Open Afro Brazilian,Silva,none,2023-12-05,World
Peridance,19:15:00,Beg African,Djoniba Mouflet,none,2023-12-05,World
Mark Morris,19:15:00,Classical Indian,Yamini *Kalluri,none,2023-12-05,World
BDC,19:30:00,All Levels Afro Dance Class,Judith McCarty,none,2023-12-05,World
Ailey,19:30:00,Open Samba,Quenia Ribeiro,none,2023-12-05,World
