Studio,Start time,Sign up,Classes,Teacher,Location,Duration
Steps on Broadway,9:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147082306&classDate=8/14/2023&clsLoc=1,Virtual 90 Beg Ballet,Sullivan,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,9:45 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147083037&classDate=8/14/2023&clsLoc=1,Virtual 90 Int/Adv Pro Ballet,Lawrence (1),Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,10:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147086907&classDate=8/14/2023&clsLoc=1,Virtual 90 Adv/Int Ballet,Loh (2),Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,10:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147087153&classDate=8/14/2023&clsLoc=1,Virtual 90 Rommett Floor Barre,Moccia,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,10:45 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147082313&classDate=8/14/2023&clsLoc=1,Virtual 90 Adv/Beg Ballet,Sullivan,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,11:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147083038&classDate=8/14/2023&clsLoc=1,Virtual 90 Adv Pro Ballet,Bielski,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,2:15 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147084305&classDate=8/14/2023&clsLoc=1,Virtual 90 Int Ballet,Froman,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,4:45 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147085311&classDate=8/14/2023&clsLoc=1,Virtual 90 Adv/Int Ballet,Tuttle (3),Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,11:45 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147083040&classDate=8/14/2023&clsLoc=1,Virtual 90 Int/Adv Contemporary,Stone,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,6:45 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147084724&classDate=8/14/2023&clsLoc=1,Virtual 90 Adv/Int Contemporary,Redmond (4),Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,11:15 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147082314&classDate=8/14/2023&clsLoc=1,Virtual 90 Adv/Beg Jazz,Lobel (5),Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,1:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147083041&classDate=8/14/2023&clsLoc=1,Virtual 90 Int Jazz,Kimelman (6),Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,2:45 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147084391&classDate=8/14/2023&clsLoc=1,Virtual 90 Beg Jazz,Stanfield (7),Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,3:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147084643&classDate=8/14/2023&clsLoc=1,Virtual 90 Int Jazz,"Lombardi, J. (8)",Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,6:15 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147087130&classDate=8/14/2023&clsLoc=1,Virtual 90 Adv/Int Jazz,Diniz (9),Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,7:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147082333&classDate=8/14/2023&clsLoc=1,Virtual 90 Adv/Beg Jazz,"Frazier, R. (10)",Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,8:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147084793&classDate=8/14/2023&clsLoc=1,Virtual 90 Int/Adv Commercial Jazz,TBA (11),Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,2:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147087438&classDate=8/14/2023&clsLoc=1,Virtual 90 Basic Graham Based Modern,Poulis,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,7:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147087190&classDate=8/14/2023&clsLoc=1,Virtual Spotlight: Int Broadway Tap,Skinner,Steps on Broadway,2 hours
Steps on Broadway,8:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147087549&classDate=8/14/2023&clsLoc=1,Virtual Spotlight: Adv/Int Theater Jazz,Spelman,Steps on Broadway,2 hours
Steps on Broadway,6:15 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147084886&classDate=8/14/2023&clsLoc=1,Virtual 90 Open Hip Hop,Greene,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,9:15 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=90&classId=2147082307&classDate=8/14/2023&clsLoc=1,Virtual 60 Gyrokinesis,Thiesing,Steps on Broadway,1 hour
Steps on Broadway,10:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=90&classId=2147082580&classDate=8/14/2023&clsLoc=1,Virtual 60 Ballet Workout,Stephan,Steps on Broadway,1 hour
Steps on Broadway,12:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=90&classId=2147086225&classDate=8/14/2023&clsLoc=1,Virtual 60 Pilates Mat,Cummings (12),Steps on Broadway,1 hour
Steps on Broadway,1:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=90&classId=2147085061&classDate=8/14/2023&clsLoc=1,Virtual 60 Lastics Stretch,Torres,Steps on Broadway,1 hour
Steps on Broadway,10:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147084574&classDate=8/14/2023&clsLoc=1,Virtual 90 Adv/Beg Tap,Ponza,Steps on Broadway,1 hour & 30 minutes
