Studio,Start time,Sign up,Class Schedule,Instructor,Studio,Duration
Ailey Studios,10:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824652&classDate=10/1/2023&clsLoc=1,IN-STUDIO Beginner Ballet,Anna Lederfeind,Studio 1C,1 hour & 30 minutes
Ailey Studios,11:00 am  EDT,none,IN-STUDIO Pilates Fusion,Cancelled Today,none,1 hour
Ailey Studios,1:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824687&classDate=10/1/2023&clsLoc=1,IN-STUDIO Modern Afro-Cuban,Noibis Licea,Studio 5B,1 hour & 30 minutes
Ailey Studios,2:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824659&classDate=10/1/2023&clsLoc=1,IN-STUDIO Beginner Contemporary,Shaina McGregor,Studio 1B,1 hour & 30 minutes
Ailey Studios,3:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824650&classDate=10/1/2023&clsLoc=1,IN-STUDIO Afro'Dance,Angel Kaba,Studio 1A,1 hour & 30 minutes
Ailey Studios,10:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824699&classDate=10/1/2023&clsLoc=1,IN-STUDIO Zumba Fitness,Jose Ozuna,Studio LLC,1 hour
Ailey Studios,1:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824640&classDate=10/1/2023&clsLoc=1,IN-STUDIO Abs Beg Hip-Hop,Aaron Thomas,Studio 1C,1 hour & 30 minutes
Ailey Studios,1:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824673&classDate=10/1/2023&clsLoc=1,IN-STUDIO Beginner Horton,Linda Celeste Sims,Studio 5A,1 hour & 30 minutes
Ailey Studios,2:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824666&classDate=10/1/2023&clsLoc=1,IN-STUDIO Beginner Hip-Hop,TweetBoogie,Studio 5D,1 hour & 30 minutes
Ailey Studios,3:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824680&classDate=10/1/2023&clsLoc=1,IN-STUDIO Beginner West African,Vado Diomande,Studio 1C,1 hour & 30 minutes
