BDC,10:30:00,Basic Tap,Canceled Today,none,2023-12-21,Tap
Steps,10:30:00,Int Broadway Tap,Winans,none,2023-12-21,Tap
BDC,12:00:00,Beg Tap,Jill Kenney,none,2023-12-21,Tap
Steps,12:00:00,Basic Tap,Carminucci,none,2023-12-21,Tap
Steps,12:30:00,Int Tap,"Dixon, J.",none,2023-12-21,Tap
BDC,13:30:00,Adv Beg Tap,Avital Asuleen,none,2023-12-21,Tap
Steps,13:45:00,Beg Tap,Carminucci,none,2023-12-21,Tap
Steps,14:15:00,Adv/Beg Tap,Korenblum,none,2023-12-21,Tap
BDC,15:00:00,Int Tap,April Cook,none,2023-12-21,Tap
BDC,16:30:00,Beg Tap,Katharine Pettit,none,2023-12-21,Tap
Steps,17:15:00,Int Tap,Cancelled Today,none,2023-12-21,Tap
BDC,18:00:00,Int Adv Tap,Canceled Today,none,2023-12-21,Tap
Steps,19:00:00,Adv/Beg Tap,Carminucci,none,2023-12-21,Tap
BDC,19:30:00,Basic Tap,Yuka Kameda,none,2023-12-21,Tap
