BDC,09:00:00,Adv Beg Ballet,Luis Villar,none,2024-01-04,Ballet
Steps,09:00:00,Int Ballet,Cave,none,2024-01-04,Ballet
BAE,09:15:00,Adv Beg Ballet,Shirley Bassat,none,2024-01-04,Ballet
Peridance,09:30:00,Open Ballet,Kathy Sullivan,none,2024-01-04,Ballet
Steps,09:45:00,Int/Adv Pro Ballet,"Kaufman, L. (1)",none,2024-01-04,Ballet
Ballet Arts,10:00:00,Open Level Ballet,Yumiko Niimi,none,2024-01-04,Ballet
BAE,10:00:00,Intro To Ballet,Sean Kelly (7),none,2024-01-04,Ballet
Gibney,10:00:00,Super Chill Ballet,Doron Perk,none,2024-01-04,Ballet
Mark Morris,10:00:00,Beg Ballet,Tristan *Grannum,none,2024-01-04,Ballet
Ailey,10:00:00,Adv Beg Ballet,Ronald Alexander,none,2024-01-04,Ballet
Peridance,10:00:00,Adv Ballet,Nick Korkos (1),none,2024-01-04,Ballet
Steps,10:00:00,Adv Pro Ballet,Beloserkovsky,none,2024-01-04,Ballet
BDC,10:30:00,Int Ballet,Josh Kolberg (2),none,2024-01-04,Ballet
Steps,10:30:00,Rommett Floor Barre,Wesley,none,2024-01-04,Ballet
Steps,11:00:00,Adv/Beg Ballet,Kemezis,none,2024-01-04,Ballet
Peridance,11:00:00,Open Pointe,Kathy Sullivan,none,2024-01-04,Ballet
BAE,11:00:00,Floor Barre,Hope Ruth,none,2024-01-04,Ballet
Ballet Arts,11:30:00,Int Ballet,Noriko Hara,none,2024-01-04,Ballet
BAE,11:30:00,Basic Beg Ballet,Sean Kelly (8),none,2024-01-04,Ballet
BAE,11:30:00,Int Ballet,Shirley Bassat,none,2024-01-04,Ballet
Steps,11:30:00,Adv Pro Ballet,Bielski,none,2024-01-04,Ballet
Peridance,11:30:00,Beg Ballet,Mary Burns (3),none,2024-01-04,Ballet
BDC,12:00:00,Adv Beg Ballet,Dorit Koppel,none,2024-01-04,Ballet
BAE,12:00:00,Beg Ballet,Hope Ruth,none,2024-01-04,Ballet
Gibney,12:30:00,Zena Rommett Floor-Barre At 280,Jodi Moccia,none,2024-01-04,Ballet
Ballet Arts,13:00:00,Int Ballet,Anna Fateeva,none,2024-01-04,Ballet
Peridance,13:00:00,Int Ballet,Kate Loh,none,2024-01-04,Ballet
Steps,13:30:00,Int Ballet,Hara,none,2024-01-04,Ballet
BDC,13:30:00,Basic Ballet,Dorit Koppel,none,2024-01-04,Ballet
Ballet Arts,14:30:00,Adv Int Ballet,François Perron,none,2024-01-04,Ballet
BDC,15:00:00,Beg Ballet,Yuka Kawazu,none,2024-01-04,Ballet
Cre8ivity NJ,15:45:00,Int Ballet Ages 9-12,Gianna Caridi,none,2024-01-04,Ballet
Peridance,16:00:00,Open Ballet/Pointe,Dianna Warren,none,2024-01-04,Ballet
BDC,16:30:00,Int Ballet,Benjamin Briones,none,2024-01-04,Ballet
Steps,17:00:00,Adv/Int Ballet,Averty (2),none,2024-01-04,Ballet
BDC,18:00:00,Basic Ballet,Erica Ratkovicz,none,2024-01-04,Ballet
Taylor School,18:00:00,Adult Open Ballet,Cancelled Today,none,2024-01-04,Ballet
BAE,18:00:00,Adv Beg Ballet,Lorna Zawacki,none,2024-01-04,Ballet
Ailey,18:00:00,Beg Ballet,Yuka Kawazu,none,2024-01-04,Ballet
Gibney,18:30:00,Int/Adv Beg Ballet,Kat Wildish,none,2024-01-04,Ballet
Steps,18:45:00,Beg/Int Ballet,"Kaufman, L. (3)",none,2024-01-04,Ballet
Ballet Arts,19:00:00,Beg Ballet,Richard Marsden,none,2024-01-04,Ballet
Mark Morris,19:00:00,Int Ballet,Ashley Tuttle,none,2024-01-04,Ballet
BAE,19:30:00,Basic Beg Ballet,Hope Ruth,none,2024-01-04,Ballet
BAE,19:30:00,Intro To Ballet,Lorna Zawacki,none,2024-01-04,Ballet
BAE,19:30:00,Int Ballet,Ginger Thatcher,none,2024-01-04,Ballet
BAE,19:30:00,Adv Beg Ballet,Ashley Talluto (9),none,2024-01-04,Ballet
