BDC,10:30:00,Basic Tap,Ali Dietz,none,2024-01-04,Tap
Steps,10:30:00,Int Broadway Tap,Winans,none,2024-01-04,Tap
BDC,12:00:00,Beg Tap,Jill Kenney,none,2024-01-04,Tap
Steps,12:00:00,Basic Tap,Carminucci,none,2024-01-04,Tap
Steps,12:30:00,Int Tap,"Dixon, J.",none,2024-01-04,Tap
BDC,13:30:00,Adv Beg Tap,Avital Asuleen,none,2024-01-04,Tap
Steps,13:45:00,Beg Tap,Carminucci,none,2024-01-04,Tap
Steps,14:15:00,Adv/Beg Tap,Korenblum,none,2024-01-04,Tap
BDC,15:00:00,Int Tap,April Cook,none,2024-01-04,Tap
BDC,16:30:00,Beg Tap,Canceled Today,none,2024-01-04,Tap
Steps,17:15:00,Int Tap,Grant,none,2024-01-04,Tap
BDC,18:00:00,Int Adv Tap,Rashaan James (7),none,2024-01-04,Tap
ATDF,18:15:00,Adv Beg,Brian Davis,none,2024-01-04,Tap
ATDF,18:15:00,Basic,Susan Hebach,none,2024-01-04,Tap
Steps,19:00:00,Adv/Beg Tap,Carminucci,none,2024-01-04,Tap
BDC,19:30:00,Basic Tap,Madison Hilligoss,none,2024-01-04,Tap
