Studio,Start time,Classes,Instructor,Sign up
Steps,09:00:00,Int Ballet,Cave,none
Steps,09:45:00,Int/Adv Pro Ballet,Hawk,none
Steps,10:00:00,Adv Pro Ballet,Beloserkovsky,none
Steps,10:30:00,Rommett Floor Barre,Wesley,none
Steps,11:00:00,Adv/Beg Ballet,Kemezis,none
Steps,11:30:00,Adv Pro Ballet,Bielski,none
Steps,13:30:00,Int Ballet,Hara,none
Steps,17:00:00,Adv/Int Ballet,Averty (1),none
Steps,18:45:00,Beg/Int Ballet,Hawk,none
Steps,11:30:00,Adv/Beg Contemp,"Jackson, M",none
Steps,12:30:00,Int Contemp,Minutoli,none
Steps,15:15:00,Adv/Int Contemp,Drablos,none
Steps,18:30:00,Beg Contemp,Bufferd,none
Steps,18:30:00,Int/Adv Contemp Fusion,Cogliandro,none
Steps,10:00:00,Beg Jazz,Bufferd,none
Steps,14:30:00,Int Comm Jazz,Lobel (2),none
Steps,15:00:00,Adv/Int Jazz,Roshe,none
Steps,16:45:00,Adv/Beg Jazz Across The Floor,Stanfield (3),none
Steps,20:30:00,Int/Adv Jazz,Pearce,none
Steps,20:00:00,Adv/Int Comm Jazz,Palmquist,none
Steps,20:00:00,Open Street Styles,Taylor Jr.,none
Steps,13:30:00,Pilates Mat,Cummings,none
Steps,18:30:00,Cardio Dance,"Star, Hito",none
Steps,10:30:00,Int Broadway Tap,Winans,none
Steps,12:00:00,Basic Tap,Carminucci,none
Steps,12:30:00,Int Tap,"Dixon, J.",none
Steps,13:45:00,Beg Tap,Carminucci,none
Steps,14:15:00,Adv/Beg Tap,Korenblum,none
Steps,17:15:00,Int Tap,MacDonald (4),none
Steps,19:00:00,Adv/Beg Tap,Carminucci,none
Steps,11:45:00,Int/Adv Theater Dance,Kimelman,none
Steps,13:15:00,Adv Theater Dance,Shannon Lewis,none
Steps,13:15:00,Int Classic Theater Jazz,Moore,none
Steps,16:45:00,Adv/Int Theater Jazz,Petinaud (5),none
Steps,19:00:00,Open Capoeira,da Silva,none
