Studio,Start time,Sign up,Classes,Teacher,Location,Duration
Steps on Broadway,10:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087047&classDate=9/24/2023&clsLoc=1,In-Studio Adv Ballet,Averty,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,11:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087048&classDate=9/24/2023&clsLoc=1,In-Studio Adv/Int Ballet,"Goldman, N.",Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,11:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085637&classDate=9/24/2023&clsLoc=1,In-Studio Beg Ballet,"Supan, L.",Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,12:45 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147084380&classDate=9/24/2023&clsLoc=1,In-Studio Beg/Int Ballet,Cave,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,2:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087049&classDate=9/24/2023&clsLoc=1,In-Studio Int Ballet,Gelinas,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,12:15 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087901&classDate=9/24/2023&clsLoc=1,In-Studio Int/Adv Contemporary,"White, Jamal Kamau",Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,1:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087051&classDate=9/24/2023&clsLoc=1,In-Studio Beg Jazz,Gerson,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,3:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087052&classDate=9/24/2023&clsLoc=1,In-Studio Int Jazz,Kobayashi (1),Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,5:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087889&classDate=9/24/2023&clsLoc=1,In-Studio Int/Adv Jazz,O'Neal,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,3:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085642&classDate=9/24/2023&clsLoc=1,In-Studio Adv/Beg Contemporary Modern,"Reed, B.",Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,4:15 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=89&classId=2147087884&classDate=9/24/2023&clsLoc=1,In-Studio Spotlight: Int/Adv Contemporary Jazz,Mia DeWeese,Steps on Broadway,2 hours
Steps on Broadway,1:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087226&classDate=9/24/2023&clsLoc=1,In-Studio Beg Hip Hop,"Mitchell, A.",Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,11:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087053&classDate=9/24/2023&clsLoc=1,In-Studio Lastics Stretch,Scholz,Steps on Broadway,1 hour
Steps on Broadway,12:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087984&classDate=9/24/2023&clsLoc=1,In-Studio Open Level Yoga,Conway,Steps on Broadway,1 hour
Steps on Broadway,2:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087276&classDate=9/24/2023&clsLoc=1,In-Studio Basic Swing Dance,McDaniel,Steps on Broadway,1 hour
Steps on Broadway,5:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087819&classDate=9/24/2023&clsLoc=1,In-Studio Absolute Beginner Swing,McDaniel,Steps on Broadway,1 hour
Steps on Broadway,12:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085645&classDate=9/24/2023&clsLoc=1,In-Studio Adv/Beg Tap,Galganni,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,2:45 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085646&classDate=9/24/2023&clsLoc=1,In-Studio Beg Tap,Ponza,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,4:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085647&classDate=9/24/2023&clsLoc=1,In-Studio Int Broadway Tap,Brians,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,12:45 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087055&classDate=9/24/2023&clsLoc=1,In-Studio Int Theater Jazz,Resavy,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,2:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087056&classDate=9/24/2023&clsLoc=1,In-Studio Adv/Beg Theater Jazz,Biagini,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,3:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087305&classDate=9/24/2023&clsLoc=1,In-Studio Adv/Int Classic Theater Jazz,Moore,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,4:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087348&classDate=9/24/2023&clsLoc=1,In-Studio Int Theater Jazz,Darlington (2),Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,3:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087057&classDate=9/24/2023&clsLoc=1,In-Studio Beg Flamenco,Korjhan,Steps on Broadway,1 hour & 30 minutes
