Studio,Start time,,Class Schedule,Instructor,Studio,Duration
Ailey Studios,10:00 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826752&classDate=3/12/2024&clsLoc=1,IN-STUDIO Beginner Ballet,Ronald Alexander,Studio 5D,1 hour &30 minutes
Ailey Studios,6:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826067&classDate=3/12/2024&clsLoc=1,IN-STUDIO Beginner Salsa,Baila Society,Studio LLC,1 hour
Ailey Studios,6:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826060&classDate=3/12/2024&clsLoc=1,IN-STUDIO Abs Beg Hip-Hop,Robin Dunn,Studio 2B,1 hour &30 minutes
Ailey Studios,6:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826066&classDate=3/12/2024&clsLoc=1,IN-STUDIO Beginner Jazz,Jeffrey Bynum,Studio 5A,1 hour &30 minutes
Ailey Studios,7:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826650&classDate=3/12/2024&clsLoc=1,IN-STUDIO Open Contemporary,Shaina McGregor,Studio 2A,1 hour &30 minutes
Ailey Studios,7:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826068&classDate=3/12/2024&clsLoc=1,IN-STUDIO Open Samba,Quenia Ribeiro,Studio 6A,1 hour &30 minutes
Ailey Studios,6:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826063&classDate=3/12/2024&clsLoc=1,IN-STUDIO Beginner Ballet,Yuka Kawazu,Studio 1B,1 hour &30 minutes
Ailey Studios,6:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826070&classDate=3/12/2024&clsLoc=1,IN-STUDIO Zumba Fitness,Diego Chauca,Studio 1C,1 hour
Ailey Studios,6:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826062&classDate=3/12/2024&clsLoc=1,IN-STUDIO Afro-Cuban Folkloric,LA MORA,Studio 1A,1 hour &30 minutes
Ailey Studios,7:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826065&classDate=3/12/2024&clsLoc=1,IN-STUDIO Beginner Hip-Hop,Jonathan Lee,Studio 1C,1 hour &30 minutes
Ailey Studios,7:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826069&classDate=3/12/2024&clsLoc=1,IN-STUDIO Vogue Fem,Luz Theodyssey,Studio LLC,1 hour &30 minutes
