Studio,Start time,,Class Schedule,Instructor,Studio,Duration
Ailey Studios,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826486&classDate=1/25/2024&clsLoc=1,IN-STUDIO Adv Beg Ballet,Ronald Alexander,Studio 6C,1 hour &30 minutes
Ailey Studios,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146825514&classDate=1/25/2024&clsLoc=1,IN-STUDIO Pilates Fusion,Diarra Cummings,Studio 2A,1 hour
Ailey Studios,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824836&classDate=1/25/2024&clsLoc=1,IN-STUDIO Abs Beg Hip-Hop,Yancy Greene,Studio 5A,1 hour &30 minutes
Ailey Studios,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824877&classDate=1/25/2024&clsLoc=1,IN-STUDIO Beginner West African,Maguette Camara,Studio 1A,1 hour
Ailey Studios,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824859&classDate=1/25/2024&clsLoc=1,IN-STUDIO Beginner Heels,Courtney Sauls,Studio 5D,1 hour &30 minutes
Ailey Studios,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824870&classDate=1/25/2024&clsLoc=1,IN-STUDIO Beginner Horton,Maria Carla Spagna (2),Studio 2B,1 hour &30 minutes
Ailey Studios,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824852&classDate=1/25/2024&clsLoc=1,IN-STUDIO Beginner Ballet,Yuka Kawazu,Studio 1B,1 hour &30 minutes
Ailey Studios,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824899&classDate=1/25/2024&clsLoc=1,IN-STUDIO Zumba Fitness,Diego Chauca,Studio 1C,1 hour
Ailey Studios,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146825234&classDate=1/25/2024&clsLoc=1,IN-STUDIO Beginner Broadway Dance,Matthew Johnson Harris,Studio LLC,1 hour &30 minutes
Ailey Studios,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824855&classDate=1/25/2024&clsLoc=1,IN-STUDIO Beginner Contemporary,Lisa Johnson-Willingham (1),Studio 2A,1 hour &30 minutes
Ailey Studios,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824866&classDate=1/25/2024&clsLoc=1,IN-STUDIO Beginner Hip-Hop,Jonathan Lee,Studio 1C,1 hour &30 minutes
Ailey Studios,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826595&classDate=1/25/2024&clsLoc=1,IN-STUDIO Adv Beg Vogue Fem,Luz Theodyssey,Studio 5C,1 hour &30 minutes
