Studio,Start time,Sign up,Classes,Teacher,Location,Duration
Peridance,10:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=5028&classDate=9/1/2023&clsLoc=1,Adv Ballet,Artistic Director: Igal Perry,none,1 hour & 30 minutes
Peridance,10:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=6210&classDate=9/1/2023&clsLoc=1,Inter Contemporary,Jordan Ryder | RYDERDANCE,Peridance Center,1 hour & 30 minutes
Peridance,10:30 am  EDT,none,Open Zena Rommett Floor-Barre ®,Cancelled Today,none,1 hour
Peridance,11:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=5375&classDate=9/1/2023&clsLoc=1,Beg Ballet,Yuka Kawazu,none,1 hour & 30 minutes
Peridance,11:30 am  EDT,none,Inter Contemporary Release,Cancelled Today,none,1 hour & 30 minutes
Peridance,11:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=73&classId=6272&classDate=9/1/2023&clsLoc=1,Open Strength Training,Ariel Goussak (1),Peridance Center,1 hour
Peridance,1:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=5528&classDate=9/1/2023&clsLoc=1,Adv Contemporary,Fadi Khoury (2),none,1 hour & 30 minutes
Peridance,1:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5471&classDate=9/1/2023&clsLoc=1,Beg Waacking,Princess Lockerooo,none,1 hour & 30 minutes
Peridance,1:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=5788&classDate=9/1/2023&clsLoc=1,Inter Ballet,Victoria Vargas,Peridance Center,1 hour & 30 minutes
Peridance,1:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=55&classId=5382&classDate=9/1/2023&clsLoc=1,Inter Graham,Lili Tewes (3),none,1 hour & 30 minutes
Peridance,2:30 pm  EDT,none,Beg Contemporary Floorwork,Cancelled Today,none,1 hour & 30 minutes
Peridance,2:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6249&classDate=9/1/2023&clsLoc=1,Open Dancehall,Korie Genius,none,1 hour & 30 minutes
Peridance,4:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=6437&classDate=9/1/2023&clsLoc=1,Inter Contemporary,Lorena Cobos,Peridance Center,1 hour & 30 minutes
Peridance,5:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5444&classDate=9/1/2023&clsLoc=1,Beg Choreography,Bo Belza,none,1 hour & 30 minutes
Peridance,5:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5442&classDate=9/1/2023&clsLoc=1,Beg Foundations of Hip Hop,"Tomoe ""Beasty"" Carr",none,1 hour & 30 minutes
Peridance,6:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=65&classId=6211&classDate=9/1/2023&clsLoc=1,Open Haitian,Peniel Guerrier | DJONIBA DANCE CENTRE,none,1 hour & 30 minutes
Peridance,7:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=70&classId=5613&classDate=9/1/2023&clsLoc=1,Beg Salsa Partnering - Beyond the Basics,Baila Society,none,1 hour & 30 minutes
Peridance,7:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=65&classId=6280&classDate=9/1/2023&clsLoc=1,Open Kutiro African Dance,Malang Bayo | DDC,none,1 hour & 30 minutes
