BDC,10:30:00,Int Theater,Chryssie Whitehead,none,2024-01-03,Theater
BDC,12:00:00,Adv Beg Theater,Ian Klein,none,2024-01-03,Theater
Steps,13:00:00,Int Theater Dance,Culbreath,none,2024-01-03,Theater
BDC,13:30:00,Int Theater,Tanner Lane,none,2024-01-03,Theater
Steps,14:45:00,Adv/Beg Theater Jazz,Resavy,none,2024-01-03,Theater
BDC,15:00:00,Beg Theater,Josh Zacher,none,2024-01-03,Theater
BDC,16:30:00,Adv Beg Theater,Jason Wise,none,2024-01-03,Theater
Steps,17:00:00,Adv/Int Theater Jazz,Dolan,none,2024-01-03,Theater
BDC,18:00:00,Int Adv Theater,Marc Kimelman (4),none,2024-01-03,Theater
