Studio,Start time,Sign up,Classes,Teacher,Location,Duration
Steps on Broadway,9:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147082818&classDate=8/24/2023&clsLoc=1,Virtual 90 Int Ballet,Tyner-Bryan (1),Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,9:45 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147083045&classDate=8/24/2023&clsLoc=1,Virtual 90 Int/Adv Pro Ballet,"Edge, A. (2)",Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,10:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147083046&classDate=8/24/2023&clsLoc=1,Virtual 90 Adv Pro Ballet,Beloserkovsky,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,10:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147082346&classDate=8/24/2023&clsLoc=1,Virtual 90 Rommett Floor Barre,Wesley,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,11:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147084562&classDate=8/24/2023&clsLoc=1,Virtual 90 Adv/Beg Ballet,Lawrence (3),Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,11:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147083038&classDate=8/24/2023&clsLoc=1,Virtual 90 Adv Pro Ballet,Bielski,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,1:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147083048&classDate=8/24/2023&clsLoc=1,Virtual 90 Int Ballet,Hara,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,5:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147085314&classDate=8/24/2023&clsLoc=1,Virtual 90 Adv/Int Ballet,"Edge, A. (4)",Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,6:45 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147083050&classDate=8/24/2023&clsLoc=1,Virtual 90 Beg/Int Ballet,"Crawford, M (5)",Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,11:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147084620&classDate=8/24/2023&clsLoc=1,Virtual 90 Adv/Beg Contemporary,"Jackson, M",Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,3:15 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147085199&classDate=8/24/2023&clsLoc=1,Virtual 90 Adv/Int Contemporary,Khamsingsavath (6),Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,4:45 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147084726&classDate=8/24/2023&clsLoc=1,Virtual 90 Adv/Int Contemporary,McGowan (7),Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,6:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147083816&classDate=8/24/2023&clsLoc=1,Virtual 90 Beg Contemporary,Bufferd,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,2:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147087145&classDate=8/24/2023&clsLoc=1,Virtual 90 Int Commercial Jazz,Gold,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,3:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147087225&classDate=8/24/2023&clsLoc=1,Virtual 90 Adv/Beg Jazz,Ciulla,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,3:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147085700&classDate=8/24/2023&clsLoc=1,Virtual 90 Adv/Int Jazz,Roshe,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,8:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147087528&classDate=8/24/2023&clsLoc=1,Virtual Spotlight: Int/Adv Jazz,"Lee, A.",Steps on Broadway,2 hours
Steps on Broadway,8:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147087421&classDate=8/24/2023&clsLoc=1,Virtual 90 Open Street Styles,Taylor Jr.,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,1:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=90&classId=2147083162&classDate=8/24/2023&clsLoc=1,Virtual 60 Pilates Mat,Cummings,Steps on Broadway,1 hour
Steps on Broadway,6:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=90&classId=2147084464&classDate=8/24/2023&clsLoc=1,Virtual 60 Cardio Dance,"Star, Hito",Steps on Broadway,1 hour
Steps on Broadway,10:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147086167&classDate=8/24/2023&clsLoc=1,Virtual 90 Int Broadway Tap,Winans,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,12:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147082398&classDate=8/24/2023&clsLoc=1,Virtual 90 Basic Tap,Carminucci,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,1:45 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147082399&classDate=8/24/2023&clsLoc=1,Virtual 90 Beg Tap,Carminucci,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,2:15 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147084916&classDate=8/24/2023&clsLoc=1,Virtual 90 Adv/Beg Tap,James (8),Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,5:15 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147082620&classDate=8/24/2023&clsLoc=1,Virtual 90 Int Tap,Almaguer (9),Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,7:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147082465&classDate=8/24/2023&clsLoc=1,Virtual 90 Adv/Beg Tap,Carminucci,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,11:45 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147085693&classDate=8/24/2023&clsLoc=1,Virtual 90 Adv/Int Theater Jazz,Cornish (10),Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,1:15 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147085701&classDate=8/24/2023&clsLoc=1,Virtual 90 Adv Theater Dance,Mattox (11),Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,1:15 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147082355&classDate=8/24/2023&clsLoc=1,Virtual 90 Int Classic Theater Jazz,Moore,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,4:45 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=91&classId=2147084663&classDate=8/24/2023&clsLoc=1,Virtual 90 Adv/Int Theater Jazz,Griffin,Steps on Broadway,1 hour & 30 minutes
