Studio,Start time,,Sessions,Teacher,Studio,Duration
Gibney,10:00 am EST,none,Contemporary with Marion Spencer at 280,Cancelled Today,none,1 hour &45 minutes
Gibney,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=13012&classDate=12/20/2023&clsLoc=1,Modernish Technique with Brad Beakes at 280,Bradley Beakes,Gibney 280: Studio C,1 hour &45 minutes
Gibney,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=54&classId=12879&classDate=12/20/2023&clsLoc=1,Pro Ballez with Katy Pyle at 890,Katy Pyle,Gibney 890: Studio 5-2,1 hour &45 minutes
Gibney,10:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12845&classDate=12/20/2023&clsLoc=1,Bartenieff Fundamentals at 280,Alexandra Beller,Gibney 280: Studio E,1 hour &30 minutes
Gibney,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12907&classDate=12/20/2023&clsLoc=1,Simonson Jazz with Teresa Perez Ceccon at 280,Teresa Perez Ceccon,Gibney 280: Studio C,1 hour &45 minutes
Gibney,12:45 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=13016&classDate=12/20/2023&clsLoc=1,Feldenkrais®: Movement Research at 280,Tasha Taylor,Gibney 280: Studio B,1 hour &15 minutes
Gibney,2:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=13017&classDate=12/20/2023&clsLoc=1,Alexander Technique: Movement Research at 280,Sarah White-Ayón,Gibney 280: Studio B,2 hours
Gibney,2:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=13014&classDate=12/20/2023&clsLoc=1,Contemporary Floorwork with Isaac Martin Lerner at 280,Isaac Martin Lerner,Gibney 280: Studio C,1 hour &45 minutes
Gibney,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12840&classDate=12/20/2023&clsLoc=1,Adult Open Contemporary with Leah Wilks at 280,Leah Wilks,Gibney 280: Studio E,1 hour &45 minutes
Gibney,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=54&classId=12583&classDate=12/20/2023&clsLoc=1,Absolute Beginner Ballet with Kat Wildish at 890,Kat Wildish,Gibney 890: Studio 5-2,1 hour
Gibney,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12582&classDate=12/20/2023&clsLoc=1,Intermediate/Advanced Contemporary/Simonson with Laurie DeVito at 280,Laurie DeVito,Gibney 280: Studio C,2 hours
