Studio,Start time,,Classes,Teacher,Pianist,Room,Duration
Ballet Academy East,9:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7974&classDate=12/20/2023&clsLoc=1,IN-STUDIO Advanced Beginner Ballet,Julia Dubno,none,Studio 6,1 hour &30 minutes
Ballet Academy East,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7958&classDate=12/20/2023&clsLoc=1,IN-STUDIO Beginner Ballet,Julie Voshell,none,Studio 2,1 hour &30 minutes
Ballet Academy East,10:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7930&classDate=12/20/2023&clsLoc=1,IN-STUDIO Introduction to Ballet,Shirley Bassat,none,Studio 6,1 hour &30 minutes
Ballet Academy East,11:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7975&classDate=12/20/2023&clsLoc=1,IN-STUDIO Advanced Beginner Ballet,Julie Voshell,none,Studio 2,1 hour &30 minutes
Ballet Academy East,11:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7915&classDate=12/20/2023&clsLoc=1,IN-STUDIO Gentle Pilates,Angelina Salama (3),none,Studio 4,1 hour
Ballet Academy East,12:00 pm EST,none,IN-STUDIO Intermediate Ballet,Cancelled Today,none,none,1 hour &30 minutes
Ballet Academy East,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7944&classDate=12/20/2023&clsLoc=1,IN-STUDIO Basic Beginner Ballet,Shirley Bassat,none,Studio 5,1 hour &30 minutes
Ballet Academy East,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=8029&classDate=12/20/2023&clsLoc=1,IN-STUDIO Intermediate Ballet,Stephanie Godino,none,Studio 2,1 hour &30 minutes
Ballet Academy East,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=8028&classDate=12/20/2023&clsLoc=1,IN-STUDIO Advanced Beginner Ballet,Selina Chau,none,Studio 4,1 hour &30 minutes
Ballet Academy East,7:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7945&classDate=12/20/2023&clsLoc=1,IN-STUDIO Basic Beginner Ballet,Estelle Botella,none,Studio 4,1 hour &30 minutes
Ballet Academy East,7:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7963&classDate=12/20/2023&clsLoc=1,IN-STUDIO Beginner Contemporary,Ashley Carter,none,Studio 1,1 hour &30 minutes
Ballet Academy East,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=8030&classDate=12/20/2023&clsLoc=1,IN-STUDIO Introduction to Ballet,Stephanie Godino,none,Studio 3,1 hour &30 minutes
Ballet Academy East,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7959&classDate=12/20/2023&clsLoc=1,IN-STUDIO Beginner Ballet,William Waldinger,none,Studio 2,1 hour &30 minutes
