Studio,Start time,,Classes,Teacher,Accompanist,Co-Teacher,Location,Duration
Peridance,9:30 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6659&classDate=4/23/2024&clsLoc=1,Open Ballet,Kathy Sullivan,none,none,none,1 hour &30 minutes
Peridance,10:00 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=7330&classDate=4/23/2024&clsLoc=1,Adv Ballet,Elizabeth Ferrell,Mallory Baker,none,none,1 hour &30 minutes
Peridance,10:00 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=6182&classDate=4/23/2024&clsLoc=1,Inter Contemporary Release,Wesley Ensminger,none,none,none,1 hour &30 minutes
Peridance,10:30 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=73&classId=5918&classDate=4/23/2024&clsLoc=1,Open Zena Rommett Floor-Barre ®,LuAnn Leonard,none,none,none,1 hour
Peridance,11:00 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=74&classId=6660&classDate=4/23/2024&clsLoc=1,Open Pointe,Kathy Sullivan,none,none,none,30 minutes
Peridance,11:30 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=5374&classDate=4/23/2024&clsLoc=1,Beg Ballet,Yuka Kawazu,none,none,none,1 hour &30 minutes
Peridance,11:30 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=6733&classDate=4/23/2024&clsLoc=1,Beg Contemporary,Bo Kyung Lee,none,none,none,1 hour &30 minutes
Peridance,11:30 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=75&classId=7169&classDate=4/23/2024&clsLoc=1,Inter House | GUEST CLASS,Nubian Néné,none,none,none,1 hour &30 minutes
Peridance,11:30 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=7014&classDate=4/23/2024&clsLoc=1,Inter MUNZ Barre ®,Bivi Kimura,none,none,none,1 hour &15 minutes
Peridance,1:00 pm EDT,none,Adv Choreography,Cancelled Today,none,none,none,1 hour &30 minutes
Peridance,1:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6185&classDate=4/23/2024&clsLoc=1,Inter Ballet,Kate Loh,none,none,none,1 hour &30 minutes
Peridance,1:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7353&classDate=4/23/2024&clsLoc=1,Inter/Adv Contemporary,Max Stone,none,none,none,1 hour &30 minutes
Peridance,1:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=73&classId=6779&classDate=4/23/2024&clsLoc=1,Open Stretch,Diego Funes,none,none,none,1 hour &30 minutes
Peridance,2:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=55&classId=6232&classDate=4/23/2024&clsLoc=1,Beg Graham,Caterina Rago,none,none,none,1 hour &30 minutes
Peridance,2:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=7375&classDate=4/23/2024&clsLoc=1,Open House Drills | MOPTOP,Tony McGregor,none,none,none,1 hour &30 minutes
Peridance,4:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7332&classDate=4/23/2024&clsLoc=1,Inter Contemporary,JM Rodriguez,none,none,none,1 hour &30 minutes
Peridance,4:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6404&classDate=4/23/2024&clsLoc=1,Open Ballet,Dianna Warren,none,none,none,1 hour &30 minutes
Peridance,4:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5386&classDate=4/23/2024&clsLoc=1,Open House,Sekou Heru,none,none,none,1 hour &30 minutes
Peridance,5:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6689&classDate=4/23/2024&clsLoc=1,Beg Ballet,Julia Gleich,none,none,none,1 hour &30 minutes
Peridance,5:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5507&classDate=4/23/2024&clsLoc=1,Open Popping,Jazzy J (Boog Soulfire),none,none,none,1 hour &30 minutes
Peridance,7:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5394&classDate=4/23/2024&clsLoc=1,Adv Choreography,Kenichi Kasamatsu,none,none,none,1 hour &30 minutes
Peridance,7:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=6735&classDate=4/23/2024&clsLoc=1,Beg Contemporary,Brianna Mercado,none,none,none,1 hour &30 minutes
Peridance,7:15 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=6690&classDate=4/23/2024&clsLoc=1,Adv Contemporary,Alex Anderson,none,none,none,1 hour &30 minutes
Peridance,7:15 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=65&classId=6939&classDate=4/23/2024&clsLoc=1,Beg African,Djoniba Mouflet | DJONIBA DANCE CENTRE,none,none,none,1 hour &30 minutes
Peridance,7:30 pm EDT,none,Beg Litefeet,Cancelled Today,none,none,none,1 hour &30 minutes
Peridance,8:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5392&classDate=4/23/2024&clsLoc=1,Beg Vogue,Omari Wiles,none,none,none,1 hour &30 minutes
