Studio,Start time,Classes,Instructor,Sign up
Steps,11:30:00,Adv/Int Theater Jazz,Andy Blankenbuehler,none
Steps,19:00:00,Int/Adv Tap,Luke Hickey,none
Steps,20:00:00,Int/Adv Precision Jazz,Danelle Morgan,none
Steps,09:00:00,Beg Ballet,Kathy Sullivan,none
Steps,09:45:00,Int/Adv Pro Ballet,Heather Hawk,none
Steps,10:00:00,Adv/Int Ballet,Kate Loh,none
Steps,10:00:00,Rommett Floor Barre,Jodi Moccia,none
Steps,10:45:00,Adv/Beg Ballet,Kathy Sullivan,none
Steps,11:30:00,Adv Pro Ballet,Nancy Bielski,none
Steps,14:30:00,Int Ballet,Kurt Froman,none
Steps,15:00:00,Int/Adv Contemp Ballet,Laura Kaufman (1),none
Steps,16:45:00,Adv/Int Ballet,Espen Giljane,none
Steps,13:30:00,Int/Adv Contemp,Max Stone,none
Steps,18:45:00,Adv/Int Contemp,Chris Jarosz,none
Steps,11:45:00,Int/Adv Jazz Technique,Camden Loeser,none
Steps,13:15:00,Adv/Int Jazz,Dylan Pearce,none
Steps,13:30:00,Int Precision Jazz,Mindy Moeller (2),none
Steps,15:00:00,Int Jazz,Adrian Lee,none
Steps,18:15:00,Adv/Int Jazz,Lisa Harvie,none
Steps,19:00:00,Adv/Beg Jazz,Plu Sayampol,none
Steps,20:30:00,Int/Adv Comm Jazz,Jason Williams,none
Steps,14:30:00,Basic Graham Based Modern,Lindsay Poulis,none
Steps,18:15:00,Open Hip Hop,Yancy Greene,none
Steps,09:15:00,Gyrokinesis,Christa Thiesing,none
Steps,10:15:00,Ballet Workout,Kate Stephan,none
Steps,12:00:00,Pilates Mat,Laura Shapiro (3),none
Steps,13:30:00,Lastics Stretch,Jaime Torres,none
Steps,18:00:00,Open Level Yoga,Devin Mae Conway,none
Steps,12:00:00,Beg Tap,Germaine Goodson,none
Steps,12:45:00,Basic Tap,Danielle Jackman (4),none
Steps,13:45:00,Adv/Beg Tap,Germaine Goodson,none
Steps,14:15:00,Int Tap,Melissa Almaguer (5),none
Steps,15:30:00,Basic Tap,Germaine Goodson,none
Steps,19:00:00,Adv/Beg Tap,Jessica Wockenfuss (6),none
Steps,12:30:00,Beg Theater Jazz,Krystyna Resavy,none
Steps,15:15:00,Int/Adv Theater Jazz,Josh Assor,none
Steps,16:30:00,Adv/Beg Theater Jazz,John Leggio,none
Steps,17:00:00,Adv/Int Theater Jazz,Courtney Darlington (7),none
