Studio,Start time,Sign up,Classes,Teacher,Accompanist,Location,Duration
Peridance,9:30 am  EDT,none,Open Ballet,Greg Zane,none,Peridance Center,1 hour & 30 minutes
Peridance,10:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=5899&classDate=10/16/2023&clsLoc=1,Adv Ballet,Artistic Director: Igal Perry,Michael Dolnikov,Peridance Center,1 hour & 30 minutes
Peridance,10:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=6726&classDate=10/16/2023&clsLoc=1,Inter Contemporary,Jordan Ryder | RYDERDANCE,none,Peridance Center,1 hour & 30 minutes
Peridance,10:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=51&classId=5871&classDate=10/16/2023&clsLoc=1,Open Simonson Jazz,Leann Gioia,none,Peridance Center,1 hour & 30 minutes
Peridance,11:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=5497&classDate=10/16/2023&clsLoc=1,Adv Contemporary,Elisabetta Minutoli,none,Peridance Center,1 hour & 30 minutes
Peridance,11:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6720&classDate=10/16/2023&clsLoc=1,Beg Ballet,Martha Chapman,Michael Dolnikov,Peridance Center,1 hour & 30 minutes
Peridance,11:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=6785&classDate=10/16/2023&clsLoc=1,Open Emergent Improvisation,Troy Ogilvie,none,Peridance Center,1 hour & 30 minutes
Peridance,12:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=73&classId=6728&classDate=10/16/2023&clsLoc=1,Open Yoga,Jana Hicks,none,Peridance Center,1 hour
Peridance,1:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6729&classDate=10/16/2023&clsLoc=1,Adv Performance Groove,Kendrick Samuel,none,Peridance Center,1 hour & 30 minutes
Peridance,1:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=5500&classDate=10/16/2023&clsLoc=1,Inter Ballet,Gabrielle Lamb,none,Peridance Center,1 hour & 30 minutes
Peridance,1:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=6766&classDate=10/16/2023&clsLoc=1,Inter Contemporary,Jana Hicks,none,Peridance Center,1 hour & 30 minutes
Peridance,1:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=73&classId=6229&classDate=10/16/2023&clsLoc=1,Open Pilates,Yu Fujiwara (1),none,Peridance Center,1 hour & 30 minutes
Peridance,2:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=55&classId=6718&classDate=10/16/2023&clsLoc=1,Beg Graham,Caterina Rago,none,Peridance Center,1 hour & 30 minutes
Peridance,2:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6767&classDate=10/16/2023&clsLoc=1,Inter Ballet,Victoria Vargas,none,Peridance Center,1 hour & 30 minutes
Peridance,2:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=75&classId=6788&classDate=10/16/2023&clsLoc=1,Inter Contemporary Floorwork | GUEST CLASS,LajaMartin _,none,Peridance Center,1 hour & 30 minutes
Peridance,2:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5400&classDate=10/16/2023&clsLoc=1,Open House,Ejoe Wilson,none,Peridance Center,1 hour & 30 minutes
Peridance,2:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=73&classId=6730&classDate=10/16/2023&clsLoc=1,Open Zena Rommett Floor-Barre ®,LuAnn Leonard,none,Peridance Center,1 hour
Peridance,4:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6764&classDate=10/16/2023&clsLoc=1,Beg Foundations of Hip Hop,TweetBoogie _,none,Peridance Center,1 hour & 30 minutes
Peridance,4:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=51&classId=6763&classDate=10/16/2023&clsLoc=1,Inter Theater,Diego Funes,none,Peridance Center,1 hour & 30 minutes
Peridance,5:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6852&classDate=10/16/2023&clsLoc=1,Adv Commercial Hip Hop,Joshua Johnson,none,Peridance Center,1 hour & 30 minutes
Peridance,5:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=6831&classDate=10/16/2023&clsLoc=1,Inter Contemporary,Catie Leasca,none,Peridance Center,1 hour & 30 minutes
Peridance,7:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5395&classDate=10/16/2023&clsLoc=1,Adv Choreography,Nick Kim (2),none,Peridance Center,1 hour & 30 minutes
Peridance,7:15 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6792&classDate=10/16/2023&clsLoc=1,Beg Ballet,Greg Zane,none,Peridance Center,1 hour & 30 minutes
Peridance,7:15 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6657&classDate=10/16/2023&clsLoc=1,Beg Hip Hop,Hurrikane _,none,Peridance Center,1 hour & 30 minutes
Peridance,7:15 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=70&classId=6656&classDate=10/16/2023&clsLoc=1,Beg Salsa Partnering,Ahtoy Juliana | BAILA Society,none,Peridance Center,1 hour & 30 minutes
Peridance,8:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6791&classDate=10/16/2023&clsLoc=1,Inter Afrobeats,Omari Wiles,none,Peridance Center,1 hour & 30 minutes
Peridance,8:45 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=75&classId=6848&classDate=10/16/2023&clsLoc=1,Inter/Adv Waacking,Nubian Néné,none,Peridance Center,1 hour & 30 minutes
