Studio,Start time,Sign up,Classes,Teacher,Pianist,Room,Duration
Ballet Academy East,9:15 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7977&classDate=10/19/2023&clsLoc=1,IN-STUDIO Advanced Beginner Ballet,Shirley Bassat,none,Studio 6,1 hour & 30 minutes
Ballet Academy East,10:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7932&classDate=10/19/2023&clsLoc=1,IN-STUDIO Introduction to Ballet,Marsha Knight,none,Studio 4,1 hour & 30 minutes
Ballet Academy East,11:00 am  EDT,none,IN-STUDIO Floor Barre,Cancelled Today,none,none,1 hour
Ballet Academy East,11:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7996&classDate=10/19/2023&clsLoc=1,IN-STUDIO Intermediate Ballet,Shirley Bassat,none,Studio 6,1 hour & 30 minutes
Ballet Academy East,11:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7946&classDate=10/19/2023&clsLoc=1,IN-STUDIO Basic Beginner Ballet,Marsha Knight,none,Studio 4,1 hour & 30 minutes
Ballet Academy East,12:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7960&classDate=10/19/2023&clsLoc=1,IN-STUDIO Beginner Ballet,Sean Kelly (9),none,Studio 2,1 hour & 30 minutes
Ballet Academy East,6:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7978&classDate=10/19/2023&clsLoc=1,IN-STUDIO Advanced Beginner Ballet,Lorna Zawacki,none,Studio 5,1 hour & 30 minutes
Ballet Academy East,7:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7979&classDate=10/19/2023&clsLoc=1,IN-STUDIO Advanced Beginner Ballet,Stephanie Chun,none,Studio 1,1 hour & 30 minutes
Ballet Academy East,7:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7997&classDate=10/19/2023&clsLoc=1,IN-STUDIO Intermediate Ballet,Ginger Thatcher,none,Studio 3,1 hour & 30 minutes
Ballet Academy East,7:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7933&classDate=10/19/2023&clsLoc=1,IN-STUDIO Introduction to Ballet,Lorna Zawacki,none,Studio 5,1 hour & 30 minutes
Ballet Academy East,7:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7947&classDate=10/19/2023&clsLoc=1,IN-STUDIO Basic Beginner Ballet,Sean Kelly (11),none,Studio 4,1 hour & 30 minutes
