Studio,Start time,Classes,Instructor,Sign up
BAE,09:15:00,Adv Beg Ballet,Shirley Bassat,none
BAE,10:00:00,Intro To Ballet,Marsha Knight,none
BAE,11:00:00,Floor Barre,Hope Ruth,none
BAE,11:30:00,Int Ballet,Shirley Bassat,none
BAE,11:30:00,Basic Beg Ballet,Marsha Knight,none
BAE,12:00:00,Beg Ballet,Hope Ruth,none
BAE,18:00:00,Adv Beg Ballet,Lorna Zawacki,none
BAE,19:30:00,Adv Beg Ballet,Stephanie Chun,none
BAE,19:30:00,Int Ballet,Sean Kelly (8),none
BAE,19:30:00,Intro To Ballet,Lorna Zawacki,none
BAE,19:30:00,Basic Beg Ballet,Hope Ruth,none
