Peridance,09:00:00,Open Ballet,Bivi Kimura,none,2024-04-06,Ballet
Steps,09:30:00,Adv/Beg Ballet,Linda Celeste Sims,none,2024-04-06,Ballet
Steps,09:45:00,Int/Adv Pro Ballet,Heather Hawk,none,2024-04-06,Ballet
Mark Morris,10:00:00,Beg Ballet,Cara Surico,none,2024-04-06,Ballet
Ailey,10:00:00,Abs Beg Ballet,Dawn Hillen,none,2024-04-06,Ballet
Peridance,10:30:00,Int Ballet,Graciela Kozak,none,2024-04-06,Ballet
Gibney,10:30:00,Int/Adv Beg Ballet,Kat Wildish,none,2024-04-06,Ballet
BAE,11:00:00,Beg Ballet,Ginger Thatcher (11),none,2024-04-06,Ballet
Steps,11:00:00,Adv Pro Ballet,Maxim Beloserkovsky,none,2024-04-06,Ballet
Ballet Arts,11:00:00,Int Ballet,Simon Kazantsev,none,2024-04-06,Ballet
Steps,11:30:00,Rommett Floor Barre,Marguerite Wesley,none,2024-04-06,Ballet
Steps,11:30:00,Adv/Int Ballet,Jessica Saund,none,2024-04-06,Ballet
Gibney,12:00:00,Pointe,Kat Wildish,none,2024-04-06,Ballet
BDC,12:00:00,Basic Ballet,Jessica Epting,none,2024-04-06,Ballet
Peridance,12:00:00,Int Ballet,François Perron,none,2024-04-06,Ballet
Ballet Arts,12:30:00,Adv Beg Ballet,Noriko Hara,none,2024-04-06,Ballet
BAE,12:30:00,Intro To Ballet,Ginger Thatcher (12),none,2024-04-06,Ballet
Steps,12:45:00,Beg Ballet,Temple Kemezis,none,2024-04-06,Ballet
Steps,13:15:00,Int Ballet,Kate Loh (1),none,2024-04-06,Ballet
BAE,14:00:00,Int Ballet,Sean Kelly,none,2024-04-06,Ballet
Ballet Arts,14:30:00,Open Level Ballet,Yuka Kawazu,none,2024-04-06,Ballet
BAE,14:30:00,Adv Beg Ballet,Julie Voshell,none,2024-04-06,Ballet
Peridance,15:00:00,Beg Ballet,Julia Gleich,none,2024-04-06,Ballet
Ailey,15:30:00,Beg Ballet,Ronald Alexander,none,2024-04-06,Ballet
BAE,15:30:00,Basic Beg Ballet,Sean Kelly,none,2024-04-06,Ballet
BAE,16:00:00,Pointe Class,Julie Voshell,none,2024-04-06,Ballet
BDC,17:00:00,Beg Ballet,Erica Ratkovicz,none,2024-04-06,Ballet
