BDC,09:00:00,Beg Contemp,Jenifer Dillow,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18466&classDate=9/28/2023&clsLoc=1,2023-09-28,Contemporary/Modern
Peridance,10:00:00,Int Contemp,Assaf Salhov,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=6827&classDate=9/28/2023&clsLoc=1,2023-09-28,Contemporary/Modern
Gibney,10:00:00,Contemp Release,Maggie Joy,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12880&classDate=9/28/2023&clsLoc=1,2023-09-28,Contemporary/Modern
Taylor School,10:00:00,Professional Level Taylor Modern,Winston Brown (5),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=25&classId=3563&classDate=9/28/2023&clsLoc=1,2023-09-28,Contemporary/Modern
BDC,10:30:00,Adv Beg Contemp,Eric Campros,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18110&classDate=9/28/2023&clsLoc=1,2023-09-28,Contemporary/Modern
Mark Morris,11:00:00,Int Contemp,Chelsea *Thedinga (6),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=28&classId=5162&classDate=9/28/2023&clsLoc=1,2023-09-28,Contemporary/Modern
Peridance,11:30:00,Adv Contemp,Chris Ralph,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=5526&classDate=9/28/2023&clsLoc=1,2023-09-28,Contemporary/Modern
Peridance,11:30:00,Int Graham,Caterina Rago,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=55&classId=6745&classDate=9/28/2023&clsLoc=1,2023-09-28,Contemporary/Modern
Steps,11:30:00,Adv/Beg Contemp,"Jackson, M",https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085571&classDate=9/28/2023&clsLoc=1,2023-09-28,Contemporary/Modern
Steps,12:30:00,Int Contemp,Minutoli,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087942&classDate=9/28/2023&clsLoc=1,2023-09-28,Contemporary/Modern
Peridance,13:00:00,Adv Contemp,Max Stone,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=5437&classDate=9/28/2023&clsLoc=1,2023-09-28,Contemporary/Modern
BDC,13:30:00,Int Contemp,Jaclyn Walsh,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18100&classDate=9/28/2023&clsLoc=1,2023-09-28,Contemporary/Modern
Gibney,14:00:00,Contemp Practice,Ori Flomin,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12948&classDate=9/28/2023&clsLoc=1,2023-09-28,Contemporary/Modern
BDC,15:00:00,Beg Contemp,Blue,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18265&classDate=9/28/2023&clsLoc=1,2023-09-28,Contemporary/Modern
Steps,15:15:00,Adv/Int Contemp,Drablos,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087006&classDate=9/28/2023&clsLoc=1,2023-09-28,Contemporary/Modern
Ballet Arts,16:00:00,Contemp,Danita Shaheen,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=2424&classDate=9/28/2023&clsLoc=1,2023-09-28,Contemporary/Modern
BDC,16:30:00,Adv Beg Contemp Jazz,Nijawwon Matthews,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18261&classDate=9/28/2023&clsLoc=1,2023-09-28,Contemporary/Modern
Peridance,17:30:00,Adv Contemp,Mathew James,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=5426&classDate=9/28/2023&clsLoc=1,2023-09-28,Contemporary/Modern
PMT,18:00:00,Beg Contemp,Mica Butnar,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3393&classDate=9/28/2023&clsLoc=1,2023-09-28,Contemporary/Modern
BDC,18:00:00,Int Lyrical,Shannon Atkins,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18335&classDate=9/28/2023&clsLoc=1,2023-09-28,Contemporary/Modern
Gibney,18:00:00,Modernish Technique,Bradley Beakes,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12919&classDate=9/28/2023&clsLoc=1,2023-09-28,Contemporary/Modern
Steps,18:30:00,Int/Adv Contemp Fusion,Cogliandro,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087742&classDate=9/28/2023&clsLoc=1,2023-09-28,Contemporary/Modern
Steps,18:30:00,Beg Contemp,Bufferd,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085575&classDate=9/28/2023&clsLoc=1,2023-09-28,Contemporary/Modern
Ailey,19:00:00,Beg Horton,Terri Wright,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824610&classDate=9/28/2023&clsLoc=1,2023-09-28,Contemporary/Modern
Mark Morris,19:00:00,Beg Modern,Chris *Heller,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=28&classId=5535&classDate=9/28/2023&clsLoc=1,2023-09-28,Contemporary/Modern
Ailey,19:00:00,Beg Contemp,Christopher Jackson,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824595&classDate=9/28/2023&clsLoc=1,2023-09-28,Contemporary/Modern
Peridance,19:15:00,Beg Contemp Jazz,Leslie Blake Walker (2),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=51&classId=6691&classDate=9/28/2023&clsLoc=1,2023-09-28,Contemporary/Modern
BDC,19:30:00,Int Contemp,alma Collective,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18409&classDate=9/28/2023&clsLoc=1,2023-09-28,Contemporary/Modern
Cumbe,19:30:00,Congolese Traditional & Contemp,Fumu Jahmez,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=72&classId=4134&classDate=9/28/2023&clsLoc=1,2023-09-28,Contemporary/Modern
Peridance,20:30:00,Adv Contemp,Tushrik Fredericks,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=6749&classDate=9/28/2023&clsLoc=1,2023-09-28,Contemporary/Modern
BDC,21:00:00,Int Adv Contemp,Alexa Luke,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18405&classDate=9/28/2023&clsLoc=1,2023-09-28,Contemporary/Modern
