Studio,Start time,,Classes,Teacher,Accompanist,Location,Duration
Peridance,9:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=7108&classDate=1/20/2024&clsLoc=1,Open Ballet,Bivi Kimura,none,Peridance Center,1 hour &30 minutes
Peridance,10:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=5440&classDate=1/20/2024&clsLoc=1,Beg Contemporary,Bo Kyung Lee,none,Peridance Center,1 hour &30 minutes
Peridance,10:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6723&classDate=1/20/2024&clsLoc=1,Inter Ballet,Graciela Kozak,Jonathan Rich,Peridance Center,1 hour &30 minutes
Peridance,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6213&classDate=1/20/2024&clsLoc=1,Beg House,Huu Rock,none,Peridance Center,1 hour &30 minutes
Peridance,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=5439&classDate=1/20/2024&clsLoc=1,Inter Ballet,Sean Stewart (1),none,Peridance Center,1 hour &30 minutes
Peridance,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=70&classId=4950&classDate=1/20/2024&clsLoc=1,Intro & Beg Salsa Partnering,Baila Society,none,Peridance Center,1 hour &30 minutes
Peridance,12:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=65&classId=5681&classDate=1/20/2024&clsLoc=1,Open Afrobeats,Djoniba Mouflet | DJONIBA DANCE CENTRE,none,Peridance Center,1 hour &30 minutes
Peridance,1:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=5430&classDate=1/20/2024&clsLoc=1,Inter Contemporary,Jana Hicks,none,Peridance Center,1 hour &30 minutes
Peridance,1:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=51&classId=6216&classDate=1/20/2024&clsLoc=1,Inter Jazz,Patrick Garr (2),none,Peridance Center,1 hour &30 minutes
Peridance,1:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=70&classId=5429&classDate=1/20/2024&clsLoc=1,Intro & Beg Salsa Partnering,Baila Society,none,Peridance Center,1 hour &30 minutes
Peridance,1:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6757&classDate=1/20/2024&clsLoc=1,Open Dancehall,"Alfred ""Prince"" Forbes (3)",none,Peridance Center,1 hour &30 minutes
Peridance,2:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=65&classId=5682&classDate=1/20/2024&clsLoc=1,Beg African,Djoniba Mouflet | DJONIBA DANCE CENTRE,none,Peridance Center,1 hour &30 minutes
Peridance,3:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=5427&classDate=1/20/2024&clsLoc=1,Adv Contemporary,Mathew James | URBAN TRIBE,none,Peridance Center,1 hour &30 minutes
Peridance,3:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6269&classDate=1/20/2024&clsLoc=1,Beg Ballet,Shimon Ito (4),none,Peridance Center,1 hour &30 minutes
Peridance,3:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=6685&classDate=1/20/2024&clsLoc=1,Beg Contemporary Floorwork,Andrea Farley Shimota,none,Peridance Center,1 hour &30 minutes
Peridance,3:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6758&classDate=1/20/2024&clsLoc=1,Inter Choreography,Roy Garzon (5),none,Peridance Center,1 hour &30 minutes
Peridance,3:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5411&classDate=1/20/2024&clsLoc=1,Open Locking,Ebenezer Ackon (6),none,Peridance Center,1 hour &30 minutes
Peridance,3:30 pm EST,none,Adv African,Cancelled Today,none,none,1 hour &30 minutes
Peridance,4:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6773&classDate=1/20/2024&clsLoc=1,"""THE VOCAB!"" Street Style Choreography",Chrybaby Cozie (7),none,Peridance Center,1 hour &30 minutes
Peridance,4:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5425&classDate=1/20/2024&clsLoc=1,Open New Style Hustle,Jeff Selby,none,none,1 hour &30 minutes
Peridance,5:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=65&classId=6313&classDate=1/20/2024&clsLoc=1,Open Brazilian Samba,Cecilia Lero | DDC,none,Peridance Center,1 hour &30 minutes
