Studio,Start time,,Classes,Teacher,Studio,Duration
Broadway Dance Center,9:00 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18673&classDate=3/11/2024&clsLoc=1,IN-PERSON: Adv Beg CONTEMPORARY JAZZ with Ashley Lynne King,Ashley Lynne King,Studio A,1 hour &30 minutes
Broadway Dance Center,9:15 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18728&classDate=3/11/2024&clsLoc=1,IN-PERSON: All Levels YOGA AND MEDITATION with Lauren Marsaglia,Lauren Marsaglia,Studio 2,1 hour &15 minutes
Broadway Dance Center,10:30 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18665&classDate=3/11/2024&clsLoc=1,IN-PERSON: Beg BALLET with Michele Moreno,Michele Moreno,Studio 1,1 hour &30 minutes
Broadway Dance Center,10:30 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18646&classDate=3/11/2024&clsLoc=1,IN-PERSON: Int CONTEMPORARY with Blue,Lorena Cobos (1),Studio 3,1 hour &30 minutes
Broadway Dance Center,12:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18103&classDate=3/11/2024&clsLoc=1,IN-PERSON: Adv Beg BALLET with Natalya Stavro,Natalya Stavro,Studio A,1 hour &30 minutes
Broadway Dance Center,12:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18685&classDate=3/11/2024&clsLoc=1,IN-PERSON: Adv Beg HIP-HOP with AntBoogie,AntBoogie,Studio 3,1 hour &30 minutes
Broadway Dance Center,12:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18680&classDate=3/11/2024&clsLoc=1,IN-PERSON: Beg THEATER with Ian Klein,Ian Klein,Studio 2,1 hour &30 minutes
Broadway Dance Center,1:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18705&classDate=3/11/2024&clsLoc=1,IN-PERSON: Adv Beg CONTEMPORARY with Jaclyn Walsh,Jaclyn Walsh,Studio A,1 hour &30 minutes
Broadway Dance Center,1:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18177&classDate=3/11/2024&clsLoc=1,IN-PERSON: Basic TAP with Brent McBeth,Mike Camire (2),Studio B,1 hour &30 minutes
Broadway Dance Center,1:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18690&classDate=3/11/2024&clsLoc=1,IN-PERSON: Int THEATER with Lizz Picini,Josh Walden (3),Studio 1,1 hour &30 minutes
