Studio,Start time,Classes,Instructor,Sign up
Peridance,10:00:00,Adv Ballet,Shimon Ito (1),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=5028&classDate=8/18/2023&clsLoc=1
Peridance,10:00:00,Int Contemp,Jordan Ryder,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=6210&classDate=8/18/2023&clsLoc=1
Peridance,10:30:00,Open Zena Rommett Floor-Barre,LuAnn Leonard,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=73&classId=6148&classDate=8/18/2023&clsLoc=1
Peridance,11:30:00,Beg Ballet,Yuka Kawazu,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=5375&classDate=8/18/2023&clsLoc=1
Peridance,11:30:00,Int Contemp Release,Wesley Ensminger,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=5519&classDate=8/18/2023&clsLoc=1
Peridance,11:30:00,Open Strength Training,Joslin Vezeau & Derek Stratton,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=73&classId=6272&classDate=8/18/2023&clsLoc=1
Peridance,13:00:00,Adv Contemp,Fadi Khoury (2),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=5528&classDate=8/18/2023&clsLoc=1
Peridance,13:00:00,Beg Waacking,Princess Lockerooo,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5471&classDate=8/18/2023&clsLoc=1
Peridance,13:00:00,Int Ballet,Victoria Vargas,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=5788&classDate=8/18/2023&clsLoc=1
Peridance,13:00:00,Int Graham,Cara McManus (3),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=55&classId=5382&classDate=8/18/2023&clsLoc=1
Peridance,14:30:00,Beg Contemp Floorwork,Andrea Farley Shimota,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=5441&classDate=8/18/2023&clsLoc=1
Peridance,14:30:00,Open Dancehall,Korie Genius,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6249&classDate=8/18/2023&clsLoc=1
Peridance,16:00:00,Int Choreo,Ayumu Imazu,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6270&classDate=8/18/2023&clsLoc=1
Peridance,16:00:00,Int Contemp,Lorena Cobos,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=6437&classDate=8/18/2023&clsLoc=1
Peridance,17:30:00,Beg Choreo,Bo Belza,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5444&classDate=8/18/2023&clsLoc=1
Peridance,17:30:00,Beg Found Of Hip Hop,Tomoe Beasty Carr,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5442&classDate=8/18/2023&clsLoc=1
Peridance,18:00:00,Open Haitian,Peniel Guerrier,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=65&classId=6211&classDate=8/18/2023&clsLoc=1
Peridance,19:00:00,Beg Salsa Partnering,Baila Society,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=70&classId=5613&classDate=8/18/2023&clsLoc=1
Peridance,19:00:00,Int House,Sekou Heru (4),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6228&classDate=8/18/2023&clsLoc=1
Peridance,19:30:00,Open Kutiro African Dance,Malang Bayo,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=65&classId=6280&classDate=8/18/2023&clsLoc=1
