Studio,Start time,Sign up,Classes,Teacher,Location,Duration
Steps on Broadway,9:30 am  EDT,none,In-Studio Beg Ballet,Kemezis,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,9:45 am  EDT,none,In-Studio Int/Adv Pro Ballet,Fairchild (1),Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,10:00 am  EDT,none,In-Studio Adv/Int Ballet,Loh (2),Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,11:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087012&classDate=10/13/2023&clsLoc=1,In-Studio Adv Pro Ballet,Bielski,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,11:45 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087013&classDate=10/13/2023&clsLoc=1,In-Studio Adv/Int Ballet,Kunikova,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,2:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087880&classDate=10/13/2023&clsLoc=1,In-Studio Int Ballet,Froman,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,5:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087014&classDate=10/13/2023&clsLoc=1,In-Studio Adv/Int Ballet,Averty,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,6:45 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087015&classDate=10/13/2023&clsLoc=1,In-Studio Beg/Int Ballet,Hara,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,4:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147086071&classDate=10/13/2023&clsLoc=1,In-Studio Int/Adv Contemporary,"Daniel, P.",Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,12:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147084595&classDate=10/13/2023&clsLoc=1,In-Studio Beg/Int Jazz,Leggio,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,1:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087018&classDate=10/13/2023&clsLoc=1,In-Studio Int Jazz,"Sayampol, Plu",Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,3:15 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087020&classDate=10/13/2023&clsLoc=1,In-Studio Adv/Int Jazz,Abbott,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,6:15 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147088127&classDate=10/13/2023&clsLoc=1,In-Studio Int Jazz,Pierlon,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,11:15 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085600&classDate=10/13/2023&clsLoc=1,In-Studio Adv/Beg Contemporary Modern,"Reed, B.",Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,2:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087437&classDate=10/13/2023&clsLoc=1,In-Studio Basic Graham Based Modern,Poulis,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,4:45 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087022&classDate=10/13/2023&clsLoc=1,In-Studio Int Modern/Horton,Maffei,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,8:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=89&classId=2147088002&classDate=10/13/2023&clsLoc=1,In-Studio Spotlight: Int/Adv Commercial Street,Lapes,Steps on Broadway,2 hours
Steps on Broadway,6:15 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085602&classDate=10/13/2023&clsLoc=1,In-Studio Open Hip Hop,Greene,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,8:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087893&classDate=10/13/2023&clsLoc=1,In-Studio Open Street Styles,Lopez,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,9:00 am  EDT,none,In-Studio Open Level Yoga,Conway,Steps on Broadway,1 hour
Steps on Broadway,10:00 am  EDT,none,In-Studio Ballet Workout,Stephan,Steps on Broadway,1 hour
Steps on Broadway,12:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087913&classDate=10/13/2023&clsLoc=1,In-Studio Pilates Mat,Ginn (3),Steps on Broadway,1 hour
Steps on Broadway,1:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087024&classDate=10/13/2023&clsLoc=1,In-Studio Lastics Stretch,Torres,Steps on Broadway,1 hour
Steps on Broadway,11:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085532&classDate=10/13/2023&clsLoc=1,In-Studio Adv/Beg Broadway Tap,Black,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,12:45 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085606&classDate=10/13/2023&clsLoc=1,In-Studio Int Broadway Tap,Black,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,2:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085608&classDate=10/13/2023&clsLoc=1,In-Studio Int/Adv Rep Tap,Schwab,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,4:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085609&classDate=10/13/2023&clsLoc=1,In-Studio Int Tap,Galganni,Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,6:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087025&classDate=10/13/2023&clsLoc=1,In-Studio Beg Tap,Ikegaya (4),Steps on Broadway,1 hour & 30 minutes
Steps on Broadway,6:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085611&classDate=10/13/2023&clsLoc=1,In-Studio Adv Tap,TBA (5),Steps on Broadway,1 hour & 30 minutes
