Studio,Start time,Sign up,Sessions,Teacher,Studio,Duration
Gibney 280,10:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=54&classId=12590&classDate=8/17/2023&clsLoc=1,Ballet with Brian Lawson at 890,Brian Lawson,Gibney 890: Studio 5-2,1 hour & 45 minutes
Gibney 280,10:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12588&classDate=8/17/2023&clsLoc=1,Contemporary Release with Wesley Ensminger at 280,Wesley Ensminger,Gibney 280: Studio C,1 hour & 45 minutes
Gibney 280,10:00 am  EDT,none,Contemporary: Morning Dig with Beth Gill at 280,Cancelled Today,none,1 hour & 45 minutes
Gibney 280,10:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12789&classDate=8/17/2023&clsLoc=1,Yoga for Dancers: Open Level with Mikaela Brandon at 280,Mikaela Brandon,Gibney 280: Studio D,1 hour & 30 minutes
Gibney 280,12:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12786&classDate=8/17/2023&clsLoc=1,Contemporary Practices with Jordan Demetrius Lloyd at 280,Jordan Demetrius Lloyd,Gibney 280: Studio C,1 hour & 45 minutes
Gibney 280,12:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=54&classId=12592&classDate=8/17/2023&clsLoc=1,Pro Ballez with Katy Pyle at 890,Katy Pyle,Gibney 890: Studio 5-2,1 hour & 45 minutes
Gibney 280,12:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12593&classDate=8/17/2023&clsLoc=1,Zena Rommett Floor-Barre® at 280,Jodi Moccia,Gibney 280: Studio D,1 hour & 30 minutes
Gibney 280,2:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12594&classDate=8/17/2023&clsLoc=1,Contemporary: Dynamic Sequencing with Adam Barruch at 280,Teacher TBD,Gibney 280: Studio C,1 hour & 45 minutes
Gibney 280,2:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12595&classDate=8/17/2023&clsLoc=1,MELT Method at 280,Claudia Brown,Gibney 280: Studio D,1 hour & 30 minutes
Gibney 280,6:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12610&classDate=8/17/2023&clsLoc=1,Modernish Technique with Brad Beakes at 280,Bradley Beakes,Gibney 280: Studio C,1 hour & 45 minutes
Gibney 280,6:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=54&classId=12569&classDate=8/17/2023&clsLoc=1,Intermediate/Advanced Beginner Ballet with Kat Wildish at 890,Kat Wildish,Gibney 890: Studio 5-2,1 hour
