BDC,09:00:00,Adv Beg Ballet,June Chin (1),none,2024-02-08,Ballet
Steps,09:00:00,Int Ballet,Michelle Cave,none,2024-02-08,Ballet
BAE,09:15:00,Adv Beg Ballet,Shirley Bassat,none,2024-02-08,Ballet
Peridance,09:30:00,Open Ballet,Kathy Sullivan,none,2024-02-08,Ballet
Steps,09:45:00,Int/Adv Pro Ballet,Heather Hawk,none,2024-02-08,Ballet
Ballet Arts,10:00:00,Open Level Ballet,Yumiko Niimi,none,2024-02-08,Ballet
BAE,10:00:00,Intro To Ballet,Marsha Knight,none,2024-02-08,Ballet
Ailey,10:00:00,Beg Ballet,Ronald Alexander,none,2024-02-08,Ballet
Gibney,10:00:00,Super Chill Ballet,Doron Perk,none,2024-02-08,Ballet
Mark Morris,10:00:00,Beg Ballet,Tristan *Grannum,none,2024-02-08,Ballet
Peridance,10:00:00,Adv Ballet,Elizabeth Ferrell,none,2024-02-08,Ballet
Steps,10:00:00,Adv Pro Ballet,Maxim Beloserkovsky,none,2024-02-08,Ballet
BDC,10:30:00,Int Ballet,Michael Cusumano (2),none,2024-02-08,Ballet
Steps,10:30:00,Rommett Floor Barre,Marguerite Wesley,none,2024-02-08,Ballet
Steps,11:00:00,Adv/Beg Ballet,Temple Kemezis,none,2024-02-08,Ballet
Peridance,11:00:00,Open Pointe,Kathy Sullivan,none,2024-02-08,Ballet
BAE,11:00:00,Floor Barre,Hope Ruth,none,2024-02-08,Ballet
BAE,11:30:00,Int Ballet,Shirley Bassat,none,2024-02-08,Ballet
BAE,11:30:00,Basic Beg Ballet,Marsha Knight,none,2024-02-08,Ballet
Steps,11:30:00,Adv Pro Ballet,Nancy Bielski,none,2024-02-08,Ballet
Ballet Arts,11:30:00,Int Ballet,Noriko Hara,none,2024-02-08,Ballet
Peridance,11:30:00,Beg Ballet,Martha Chapman,none,2024-02-08,Ballet
BAE,12:00:00,Beg Ballet,Hope Ruth,none,2024-02-08,Ballet
BDC,12:00:00,Adv Beg Ballet,Dorit Koppel,none,2024-02-08,Ballet
Mark Morris,12:30:00,Adv Ballet,Elisa Clark *Former MMDG Dancer,none,2024-02-08,Ballet
Gibney,12:30:00,Zena Rommett Floor-Barre At 280,Jodi Moccia,none,2024-02-08,Ballet
Peridance,13:00:00,Int Ballet,Kate Loh,none,2024-02-08,Ballet
Ballet Arts,13:00:00,Int Ballet,Anna Fateeva,none,2024-02-08,Ballet
BDC,13:30:00,Basic Ballet,Dorit Koppel,none,2024-02-08,Ballet
Steps,13:30:00,Int Ballet,Noriko Hara,none,2024-02-08,Ballet
Ballet Arts,14:30:00,Adv Int Ballet,François Perron,none,2024-02-08,Ballet
BDC,15:00:00,Beg Ballet,Yuka Kawazu,none,2024-02-08,Ballet
Cre8ivity NJ,15:45:00,Int Ballet Ages 9-12,Gianna Caridi,none,2024-02-08,Ballet
Peridance,16:00:00,Open Ballet/Pointe,Dianna Warren,none,2024-02-08,Ballet
BDC,16:30:00,Int Ballet,Benjamin Briones,none,2024-02-08,Ballet
Steps,17:00:00,Adv/Int Ballet,Espen Giljane,none,2024-02-08,Ballet
BDC,18:00:00,Basic Ballet,Erica Ratkovicz,none,2024-02-08,Ballet
BAE,18:00:00,Adv Beg Ballet,Lorna Zawacki,none,2024-02-08,Ballet
Ailey,18:00:00,Beg Ballet,Yuka Kawazu,none,2024-02-08,Ballet
Gibney,18:30:00,Int/Adv Beg Ballet,Jon Drake,none,2024-02-08,Ballet
Steps,18:45:00,Beg/Int Ballet,Heather Hawk,none,2024-02-08,Ballet
Ballet Arts,19:00:00,Beg Ballet,Richard Marsden,none,2024-02-08,Ballet
Mark Morris,19:00:00,Int Ballet,Ashley Tuttle,none,2024-02-08,Ballet
Peridance,19:00:00,Int Ballet,Greg Zane,none,2024-02-08,Ballet
BAE,19:30:00,Basic Beg Ballet,Marsha Knight (4),none,2024-02-08,Ballet
BAE,19:30:00,Intro To Ballet,Lorna Zawacki,none,2024-02-08,Ballet
BAE,19:30:00,Int Ballet,Ginger Thatcher,none,2024-02-08,Ballet
BAE,19:30:00,Adv Beg Ballet,Stephanie Chun,none,2024-02-08,Ballet
