Studio,Start time,Sign up,Classes,Teacher,Location,Duration
Peridance,10:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=5899&classDate=8/28/2023&clsLoc=1,Adv Ballet,Artistic Director: Igal Perry,none,1 hour & 30 minutes
Peridance,10:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=51&classId=5871&classDate=8/28/2023&clsLoc=1,Open Simonson Jazz,Leann Gioia,none,1 hour & 30 minutes
Peridance,11:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=5497&classDate=8/28/2023&clsLoc=1,Adv Contemporary,Chris Ralph (1),none,1 hour & 30 minutes
Peridance,11:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=5364&classDate=8/28/2023&clsLoc=1,Beg Ballet,Martha Chapman,none,1 hour & 30 minutes
Peridance,1:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=6146&classDate=8/28/2023&clsLoc=1,Beg Contemporary,Bo Kyung Lee,Peridance Center,1 hour & 30 minutes
Peridance,1:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=55&classId=5380&classDate=8/28/2023&clsLoc=1,Beg Graham,Cara McManus (2),none,1 hour & 30 minutes
Peridance,1:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=5500&classDate=8/28/2023&clsLoc=1,Inter Ballet,Gabrielle Lamb,none,1 hour & 30 minutes
Peridance,1:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=73&classId=6229&classDate=8/28/2023&clsLoc=1,Open Pilates,Yuki Hasegawa,none,1 hour & 30 minutes
Peridance,2:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=5522&classDate=8/28/2023&clsLoc=1,Adv Contemporary,Brice Mousset (3),none,1 hour & 30 minutes
Peridance,2:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5400&classDate=8/28/2023&clsLoc=1,Open House,Huu Rock (4),none,1 hour & 30 minutes
Peridance,4:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6298&classDate=8/28/2023&clsLoc=1,Inter Hip Hop,TweetBoogie _,none,1 hour & 30 minutes
Peridance,5:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5399&classDate=8/28/2023&clsLoc=1,Adv Choreography,Hamly Tavarez (5),none,1 hour & 30 minutes
Peridance,5:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6221&classDate=8/28/2023&clsLoc=1,Beg Ballet,Greg Zane,none,1 hour & 30 minutes
Peridance,5:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=5388&classDate=8/28/2023&clsLoc=1,Inter Contemporary,Emily Greenwell,none,1 hour & 30 minutes
Peridance,6:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=65&classId=6202&classDate=8/28/2023&clsLoc=1,Beg African,Djoniba Mouflet | DJONIBA DANCE CENTRE,Peridance Center,1 hour & 30 minutes
Peridance,7:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5395&classDate=8/28/2023&clsLoc=1,Adv Choreography,Bo Park,none,1 hour & 30 minutes
Peridance,7:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5409&classDate=8/28/2023&clsLoc=1,Beg Hip Hop,Will Ordener (6),none,1 hour & 30 minutes
Peridance,7:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=70&classId=6218&classDate=8/28/2023&clsLoc=1,Beg Salsa Partnering,Ahtoy Juliana | BAILA Society,none,1 hour & 30 minutes
Peridance,7:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=75&classId=6765&classDate=8/28/2023&clsLoc=1,Int/Adv Jazz,Dylan Pearce,Peridance Center,2 hours
Peridance,8:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5389&classDate=8/28/2023&clsLoc=1,Beg Afrobeats,Omari Wiles,none,1 hour & 30 minutes
