Studio,Start time,Classes,Instructor,Sign up
Ailey,10:00:00,Adv Beg Ballet,Ronald Alexander,none
Ailey,18:00:00,Pilates Fusion,Diarra Cummings,none
Ailey,18:30:00,Abs Beg Hip-Hop,Yancy Greene,none
Ailey,18:30:00,Beg West African,Maguette Camara,none
Ailey,19:00:00,Beg Heels,Courtney Sauls,none
Ailey,19:00:00,Beg Horton,Maria Carla Spagna (2),none
Ailey,18:00:00,Beg Ballet,Yuka Kawazu,none
Ailey,18:00:00,Zumba Fitness,Diego Chauca,none
Ailey,18:30:00,Beg Broadway Dance,Matthew Johnson Harris,none
Ailey,19:00:00,Beg Contemp,Lisa Johnson-Willingham (1),none
Ailey,19:00:00,Beg Hip-Hop,Jonathan Lee,none
Ailey,19:30:00,Adv Beg Vogue Fem,Luz Theodyssey,none
