Studio,Start time,Classes,Instructor,Sign up
Peridance,10:00:00,Adv Ballet,Shimon Ito (1),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=5899&classDate=8/14/2023&clsLoc=1
Peridance,10:00:00,Open Simonson Jazz,Leann Gioia,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=51&classId=5871&classDate=8/14/2023&clsLoc=1
Peridance,11:30:00,Adv Contemp,Elisabetta Minutoli,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=5497&classDate=8/14/2023&clsLoc=1
Peridance,11:30:00,Beg Ballet,Martha Chapman,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=5364&classDate=8/14/2023&clsLoc=1
Peridance,11:30:00,Open Dance Theater,Anabella Lenzu,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=51&classId=6165&classDate=8/14/2023&clsLoc=1
Peridance,13:00:00,Beg Contemp,Bo Kyung Lee,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=6146&classDate=8/14/2023&clsLoc=1
Peridance,13:00:00,Beg Graham,Cara McManus (2),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=55&classId=5380&classDate=8/14/2023&clsLoc=1
Peridance,13:00:00,Int Ballet,Gabrielle Lamb,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=5500&classDate=8/14/2023&clsLoc=1
Peridance,14:30:00,Adv Contemp,Brice Mousset (3),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=5522&classDate=8/14/2023&clsLoc=1
Peridance,14:30:00,Open House,Huu Rock (4),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5400&classDate=8/14/2023&clsLoc=1
Peridance,16:00:00,Int Hip Hop,TweetBoogie _,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6298&classDate=8/14/2023&clsLoc=1
Peridance,17:30:00,Adv Choreo,Guest Artist (5),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5399&classDate=8/14/2023&clsLoc=1
Peridance,17:30:00,Beg Ballet,Greg Zane,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6221&classDate=8/14/2023&clsLoc=1
Peridance,17:30:00,Int Contemp,Emily Greenwell,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=5388&classDate=8/14/2023&clsLoc=1
Peridance,18:30:00,Beg African,Djoniba Mouflet,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=65&classId=6202&classDate=8/14/2023&clsLoc=1
Peridance,19:00:00,Adv Choreo,Nick Kim (6),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5395&classDate=8/14/2023&clsLoc=1
Peridance,19:00:00,Beg Hip Hop,Will Ordener (7),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5409&classDate=8/14/2023&clsLoc=1
Peridance,19:00:00,Beg Salsa Partnering,Ahtoy Juliana,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=70&classId=6218&classDate=8/14/2023&clsLoc=1
Peridance,20:30:00,Beg Afrobeats,Izzy __ (8),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5389&classDate=8/14/2023&clsLoc=1
