Studio,Start time,,Classes,Teacher,Accompanist,Co-Teacher,Location,Duration
Peridance,9:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6672&classDate=3/7/2024&clsLoc=1,Open Ballet,Kathy Sullivan,none,none,Peridance Center,1 hour &30 minutes
Peridance,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6797&classDate=3/7/2024&clsLoc=1,Adv Ballet,Elizabeth Ferrell,Raisa Umanskaya,none,Peridance Center,1 hour &30 minutes
Peridance,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=75&classId=7232&classDate=3/7/2024&clsLoc=1,Adv Contemporary | GUEST CLASS,Julia Ehrstrand,none,none,none,1 hour &30 minutes
Peridance,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=55&classId=7182&classDate=3/7/2024&clsLoc=1,Inter Graham,Caterina Rago,none,none,Peridance Center,1 hour &30 minutes
Peridance,11:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=74&classId=6673&classDate=3/7/2024&clsLoc=1,Open Pointe,Kathy Sullivan,none,none,Peridance Center,30 minutes
Peridance,11:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=5526&classDate=3/7/2024&clsLoc=1,Adv Contemporary,Chris Ralph,none,none,Peridance Center,1 hour &30 minutes
Peridance,11:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6722&classDate=3/7/2024&clsLoc=1,Beg Ballet,Martha Chapman,Michael Dolnikov,none,Peridance Center,1 hour &30 minutes
Peridance,11:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=73&classId=4330&classDate=3/7/2024&clsLoc=1,Open Yoga,Sarah Iguchi (1),none,none,Peridance Center,1 hour &30 minutes
Peridance,1:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=5437&classDate=3/7/2024&clsLoc=1,Adv Contemporary,Max Stone,none,none,Peridance Center,1 hour &30 minutes
Peridance,1:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6186&classDate=3/7/2024&clsLoc=1,Inter Ballet,Kate Loh,none,none,Peridance Center,1 hour &30 minutes
Peridance,2:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=6787&classDate=3/7/2024&clsLoc=1,Adv Contemporary,Mike Esperanza,none,none,Peridance Center,1 hour &30 minutes
Peridance,2:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5600&classDate=3/7/2024&clsLoc=1,Inter Choreography,Tomoko Ishikawa,none,none,Peridance Center,1 hour &30 minutes
Peridance,2:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7080&classDate=3/7/2024&clsLoc=1,Inter Contemporary,Assaf Salhov,none,none,Peridance Center,1 hour &30 minutes
Peridance,2:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=7309&classDate=3/7/2024&clsLoc=1,Open Hip Hop Technique and Transitions | MOPTOP,Buddha Stretch,none,none,Peridance Center,1 hour &30 minutes
Peridance,4:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=5948&classDate=3/7/2024&clsLoc=1,Open Ballet/Pointe,Dianna Warren,none,none,Peridance Center,1 hour &30 minutes
Peridance,4:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5387&classDate=3/7/2024&clsLoc=1,Open House,Marmara Tobal (2),none,none,Peridance Center,1 hour &30 minutes
Peridance,5:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=5426&classDate=3/7/2024&clsLoc=1,Adv Contemporary,Mathew James | URBAN TRIBE,none,none,Peridance Center,1 hour &30 minutes
Peridance,5:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6813&classDate=3/7/2024&clsLoc=1,Inter Hip Hop,"Tomoe ""Beasty"" Carr",none,none,Peridance Center,1 hour &30 minutes
Peridance,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5396&classDate=3/7/2024&clsLoc=1,Adv Choreography,Bo Park,none,none,Peridance Center,1 hour &30 minutes
Peridance,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6830&classDate=3/7/2024&clsLoc=1,Inter Ballet,Greg Zane,none,none,Peridance Center,1 hour &30 minutes
Peridance,7:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=51&classId=6691&classDate=3/7/2024&clsLoc=1,Beg Contemporary Jazz,Jeffrey Gugliotti,none,none,Peridance Center,1 hour &30 minutes
Peridance,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=7114&classDate=3/7/2024&clsLoc=1,Beg House,Miyabi Wright (3),none,none,Peridance Center,1 hour &30 minutes
Peridance,8:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6748&classDate=3/7/2024&clsLoc=1,Inter Hip Hop,Dr. Ew,none,none,Peridance Center,1 hour &30 minutes
Peridance,8:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6719&classDate=3/7/2024&clsLoc=1,Open Old Way Vogue,Archie Burnett,none,none,Peridance Center,1 hour &30 minutes
