Studio,Start time,,Sessions,Teacher,Studio,Duration
Gibney,10:00 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=54&classId=13268&classDate=5/6/2024&clsLoc=1,Advanced Ballet with Elisa Clark at 890,Kara Chan,Gibney 890: Studio 5-2,1 hour &45 minutes
Gibney,10:00 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12875&classDate=5/6/2024&clsLoc=1,Contemporary: 2nd Best Dance Company at 280,Lily Gelfand,Gibney 280: Studio W,1 hour &45 minutes
Gibney,12:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=13294&classDate=5/6/2024&clsLoc=1,Contemporary Floorwork at 280,Isaac Martin Lerner,Gibney 280: Studio C,1 hour &45 minutes
Gibney,12:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=13295&classDate=5/6/2024&clsLoc=1,Embodiment through Dance Movement Therapy at 280,Jamie Yasgur,Gibney 280: Studio D,1 hour &45 minutes
Gibney,2:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=13270&classDate=5/6/2024&clsLoc=1,MELT Method at 280,Edya Kalev,Gibney 280: Studio D,1 hour &30 minutes
Gibney,2:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=13269&classDate=5/6/2024&clsLoc=1,Physical Theater: Storytelling for Dancers at 280,Kelly Ashton Todd,Gibney 280: Studio C,1 hour &45 minutes
Gibney,4:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=13271&classDate=5/6/2024&clsLoc=1,Emergent Improvisation at 280 (MASKS REQUIRED),Uila Marx,Gibney 280: Studio C,1 hour &45 minutes
Gibney,6:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=54&classId=13273&classDate=5/6/2024&clsLoc=1,Beginner Ballez with MJ Markovitz at 890,MJ Markovitz,Gibney 890: Studio 5-2,1 hour &30 minutes
