PMT,15:00:00,Open Reggaeton,David Machicado,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3384&classDate=9/6/2023&clsLoc=1,2023-09-06,World
Peridance,16:00:00,Open Dancehall,Korie Genius,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5472&classDate=9/6/2023&clsLoc=1,2023-09-06,World
Cumbe,18:00:00,West African,Youssouf Koumbassa,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=4149&classDate=9/6/2023&clsLoc=1,2023-09-06,World
Cumbe,18:30:00,Congolese Dance And Drum All Levels,Andoche Loubaki,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=3995&classDate=9/6/2023&clsLoc=1,2023-09-06,World
Peridance,18:30:00,Beg African,Djoniba Mouflet,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=65&classId=6667&classDate=9/6/2023&clsLoc=1,2023-09-06,World
Mark Morris,18:30:00,Int West African,Mouminatou *Camara,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=25&classId=3162&classDate=9/6/2023&clsLoc=1,2023-09-06,World
Cumbe,19:30:00,Afro-Brazilian And Samba All Levels,Quenia Ribeiro,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=3997&classDate=9/6/2023&clsLoc=1,2023-09-06,World
BDC,19:30:00,Basic Afro'Dance,Angel Kaba,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17753&classDate=9/6/2023&clsLoc=1,2023-09-06,World
Ailey,19:30:00,Sabar,Bakary Fall,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146825225&classDate=9/6/2023&clsLoc=1,2023-09-06,World
Peridance,20:00:00,Open Afro-Cuban,La Mora Pérez,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=65&classId=6671&classDate=9/6/2023&clsLoc=1,2023-09-06,World
SassClass,20:30:00,Reggaeton,David,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=429&classDate=9/6/2023&clsLoc=1,2023-09-06,World
BDC,20:45:00,Beg Dancehall,Korie Genius,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17757&classDate=9/6/2023&clsLoc=1,2023-09-06,World
