BDC,09:00:00,Basic Contemp,Lorena Cobos,none,2024-01-30,Contemporary/Modern
Peridance,10:00:00,Int Contemp Release,Wesley Ensminger,none,2024-01-30,Contemporary/Modern
Taylor School,10:00:00,Professional Level Taylor Modern,Takehiro Ueyama (2),none,2024-01-30,Contemporary/Modern
Gibney,10:00:00,Contemp Playground,Shane Larson,none,2024-01-30,Contemporary/Modern
BDC,10:30:00,Adv Beg Contemp,Eric Campros,none,2024-01-30,Contemporary/Modern
Peridance,11:30:00,Adv Contemp,Nicole von Arx (1),none,2024-01-30,Contemporary/Modern
Peridance,11:30:00,Beg Contemp,Bo Kyung Lee,none,2024-01-30,Contemporary/Modern
Mark Morris,12:00:00,Beg Modern,Claudia *McDonald,none,2024-01-30,Contemporary/Modern
Gibney,12:00:00,Contemp Dynamic Sequencing,Adam Barruch,none,2024-01-30,Contemporary/Modern
Steps,12:30:00,Int Contemp,Elisabetta Minutoli,none,2024-01-30,Contemporary/Modern
Peridance,13:00:00,Int Contemp,Max Stone,none,2024-01-30,Contemporary/Modern
Brickhouse,13:30:00,Contemp Fusion Int,Alexa Luke,none,2024-01-30,Contemporary/Modern
Gibney,14:00:00,Int/Adv Contemp/Simonson,Laurie DeVito,none,2024-01-30,Contemporary/Modern
Peridance,14:30:00,Beg Graham,Caterina Rago,none,2024-01-30,Contemporary/Modern
BDC,15:00:00,Int Contemp,Elodie Dufroux (4),none,2024-01-30,Contemporary/Modern
Steps,15:15:00,Adv/Int Contemp,Ida Saki,none,2024-01-30,Contemporary/Modern
BDC,16:30:00,Adv Beg Contemp Jazz,Nijawwon Matthews,none,2024-01-30,Contemporary/Modern
BDC,18:00:00,Int Adv Contemp Fusion,Cat Cogliandro,none,2024-01-30,Contemporary/Modern
Taylor School,18:00:00,Young Adult Breaking,Lars Kong,none,2024-01-30,Contemporary/Modern
Taylor School,18:00:00,Adult Beg/Int Ballet,Olivia Passarelli,none,2024-01-30,Contemporary/Modern
Gibney,18:00:00,Contemp Floorwork,Destany Churchwell,none,2024-01-30,Contemporary/Modern
Mark Morris,18:30:00,Int Modern,Andrea *Murillo,none,2024-01-30,Contemporary/Modern
Gibney,18:45:00,Gaga/Dancers At 280,Navarra Novy-Williams,none,2024-01-30,Contemporary/Modern
Ailey,19:00:00,Open Contemp,Shaina McGregor,none,2024-01-30,Contemporary/Modern
Peridance,19:15:00,Adv Contemp,Alex Anderson,none,2024-01-30,Contemporary/Modern
BDC,19:30:00,Int Contemp,Jaclyn Walsh,none,2024-01-30,Contemporary/Modern
Hive NJ,20:15:00,Int Contemp Adults 17+,Milcah Umali,none,2024-01-30,Contemporary/Modern
Steps,20:30:00,Int/Adv Contemp,Jordan Lombardi,none,2024-01-30,Contemporary/Modern
BDC,21:00:00,Adv Beg Contemp,Canceled Today,none,2024-01-30,Contemporary/Modern
