Studio,Start time,Sign up,Sessions,Teacher,Studio,Duration
Gibney,10:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12953&classDate=9/27/2023&clsLoc=1,Contemporary Floorwork with Shannon Gillen at 280,Shannon Gillen,Gibney 280: Studio C,1 hour & 45 minutes
Gibney,10:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12952&classDate=9/27/2023&clsLoc=1,Contemporary Playground with Shane Larson at 280,Shane Larson,Gibney 280: Studio U,1 hour & 45 minutes
Gibney,10:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=54&classId=12879&classDate=9/27/2023&clsLoc=1,Pro Ballez with Katy Pyle at 890,Katy Pyle,Gibney 890: Studio 5-2,1 hour & 45 minutes
Gibney,10:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12845&classDate=9/27/2023&clsLoc=1,Bartenieff Fundamentals at 280,Meredith Fages,Gibney 280: Studio B,1 hour & 30 minutes
Gibney,12:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12907&classDate=9/27/2023&clsLoc=1,Simonson Jazz with Teresa Perez Ceccon at 280,Leann Gioia,Gibney 280: Studio C,1 hour & 45 minutes
Gibney,12:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=12846&classDate=9/27/2023&clsLoc=1,Feldenkrais®: Movement Research at 280,Tasha Taylor,Gibney 280: Studio B,1 hour & 30 minutes
Gibney,2:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=12938&classDate=9/27/2023&clsLoc=1,Alexander Technique: Movement Research at 280,Alice MacDonald,Gibney 280: Studio B,1 hour & 45 minutes
Gibney,2:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12878&classDate=9/27/2023&clsLoc=1,Contemporary Floorwork with Dual Rivet at 280,Dual Rivet,Gibney 280: Studio C,1 hour & 45 minutes
Gibney,6:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12840&classDate=9/27/2023&clsLoc=1,Adult Open Contemporary with Leah Wilks at 280,Leah Wilks,Gibney 280: Studio E,1 hour & 45 minutes
Gibney,6:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=54&classId=12583&classDate=9/27/2023&clsLoc=1,Absolute Beginner Ballet with Kat Wildish at 890,Kat Wildish,Gibney 890: Studio 5-2,1 hour
Gibney,6:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12582&classDate=9/27/2023&clsLoc=1,Intermediate/Advanced Contemporary/Simonson with Laurie DeVito at 280,Laurie DeVito,Gibney 280: Studio C,2 hours
